"","cusip","merger","employ","return","patents","patentsg","stckpr","rnd","rndeflt","rndstck","sales","sic","year","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","lrnd","lsales","lpat","rnd_1","rnd_2","rnd_3","rnd_4","rnd_5","lrnd_1","lrnd_2","lrnd_3","lrnd_4","lrnd_5","clpat","clrnd","clrnd_1","clrnd_2","clrnd_3","clrnd_4","clrnd_5","clsales","lrnd_6","lrnd_7","lrnd_8","lrnd_9"
"1",800,0,9.8489990234375,5.81766366958618,22,24,47.625,2.56297302246094,2.56297302246094,16.1551055908203,343.678955078125,3740,72,1,0,0,0,0,0,0,0,0,0,1.27059531211853,5.83970785140991,3.13549423217773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",800,0,12.3169937133789,5.68947792053223,34,32,57.8749694824219,3.09604454040527,2.90981674194336,17.3559265136719,436.14599609375,3740,73,0,1,0,0,0,0,0,0,0,0,1.41002178192139,6.07797718048096,3.55534815788269,2.56297302246094,NA,NA,NA,NA,1.27059531211853,NA,NA,NA,NA,0.419853925704956,0.139426469802856,NA,NA,NA,NA,NA,0.238269329071045,NA,NA,NA,NA
"3",800,0,12.1999969482422,4.41992855072021,31,30,33,3.27231788635254,2.79685211181641,19.60888671875,535.0966796875,3740,74,0,0,1,0,0,0,0,0,0,0,1.45215654373169,6.28244733810425,3.465735912323,3.09604454040527,2.56297302246094,NA,NA,NA,1.41002178192139,1.27059531211853,NA,NA,NA,-0.0896122455596924,0.0421347618103027,0.139426469802856,NA,NA,NA,NA,0.204470157623291,NA,NA,NA,NA
"4",800,0,11.8429946899414,5.27889442443848,32,34,38.4999694824219,3.23600959777832,2.51829528808594,21.9087982177734,566.96435546875,3740,75,0,0,0,1,0,0,0,0,0,0,1.44362163543701,6.34029626846313,3.49650764465332,3.27231788635254,3.09604454040527,2.56297302246094,NA,NA,1.45215654373169,1.41002178192139,1.27059531211853,NA,NA,0.0307717323303223,-0.00853490829467773,0.0421347618103027,0.139426469802856,NA,NA,NA,0.0578489303588867,NA,NA,NA,NA
"5",800,0,12.9909973144531,4.90793609619141,40,28,35.1249694824219,3.78483772277832,2.78092384338379,23.1438751220703,631.1005859375,3740,76,0,0,0,0,1,0,0,0,0,0,1.56545209884644,6.44746541976929,3.71357202529907,3.23600959777832,3.27231788635254,3.09604454040527,2.56297302246094,NA,1.44362163543701,1.45215654373169,1.41002178192139,1.27059531211853,NA,0.217064380645752,0.121830463409424,-0.00853490829467773,0.0421347618103027,0.139426469802856,NA,NA,0.107169151306152,NA,NA,NA,NA
"6",800,0,13.2329940795898,4.80169677734375,60,33,34.4999694824219,3.86065483093262,2.64609527587891,25.1590576171875,705.70361328125,3740,77,0,0,0,0,0,1,0,0,0,0,1.58117318153381,6.55919551849365,4.11087369918823,3.78483772277832,3.23600959777832,3.27231788635254,3.09604454040527,2.56297302246094,1.56545209884644,1.44362163543701,1.45215654373169,1.41002178192139,1.27059531211853,0.39730167388916,0.0157210826873779,0.121830463409424,-0.00853490829467773,0.0421347618103027,0.139426469802856,NA,0.111730098724365,NA,NA,NA,NA
"7",800,0,14.4549942016602,4.71416091918945,57,53,30.7499694824219,4.70139694213867,2.98880958557129,27.2073364257812,819.03759765625,3740,78,0,0,0,0,0,0,1,0,0,0,1.7407112121582,6.7081298828125,4.06044292449951,3.86065483093262,3.78483772277832,3.23600959777832,3.27231788635254,3.09604454040527,1.58117318153381,1.56545209884644,1.44362163543701,1.45215654373169,1.41002178192139,-0.0504307746887207,0.15953803062439,0.0157210826873779,0.121830463409424,-0.00853490829467773,0.0421347618103027,0.139426469802856,0.148934364318848,1.27059531211853,NA,NA,NA
"8",800,0,14.181999206543,4.73131847381592,77,47,34.2499694824219,5.03887557983398,2.9329891204834,30.3910675048828,991.705078125,3740,79,0,0,0,0,0,0,0,1,0,0,1.7982177734375,6.89942598342896,4.35670900344849,4.70139694213867,3.86065483093262,3.78483772277832,3.23600959777832,3.27231788635254,1.7407112121582,1.58117318153381,1.56545209884644,1.44362163543701,1.45215654373169,0.296266078948975,0.0575065612792969,0.15953803062439,0.0157210826873779,0.121830463409424,-0.00853490829467773,0.0421347618103027,0.191296100616455,1.41002178192139,1.27059531211853,NA,NA
"9",800,0,12.9279937744141,4.22475051879883,38,64,46,6.57272720336914,3.51482772827148,33.6259460449219,1044.640625,3740,80,0,0,0,0,0,0,0,0,1,0,2.0245532989502,6.95142841339111,3.66356158256531,5.03887557983398,4.70139694213867,3.86065483093262,3.78483772277832,3.23600959777832,1.7982177734375,1.7407112121582,1.58117318153381,1.56545209884644,1.44362163543701,-0.693147420883179,0.226335525512695,0.0575065612792969,0.15953803062439,0.0157210826873779,0.121830463409424,-0.00853490829467773,0.0520024299621582,1.45215654373169,1.41002178192139,1.27059531211853,NA
"10",800,0,12.2479934692383,4.99976873397827,5,70,40.8749694824219,8.23153686523438,4.09529113769531,37.7588195800781,939.0947265625,3740,81,0,0,0,0,0,0,0,0,0,1,2.2226254940033,6.84491634368896,1.7917594909668,6.57272720336914,5.03887557983398,4.70139694213867,3.86065483093262,3.78483772277832,2.0245532989502,1.7982177734375,1.7407112121582,1.58117318153381,1.56545209884644,-1.87180209159851,0.198072195053101,0.226335525512695,0.0575065612792969,0.15953803062439,0.0157210826873779,0.121830463409424,-0.106512069702148,1.44362163543701,1.45215654373169,1.41002178192139,1.27059531211853
