"","cusip","year","ikb","ikn","qb","qn","d75","d76","d77","d78","d79","d80","d81","d82","d83","d84","d85","ikb_1","ikn_1","qb_1","qn_1","cikb","cikn","cqb","cqn","cikb_1","cqb_1","cikb_2"
"1",2824,75,0.112441897392273,0.145973429083824,1.53127431869507,2.37886476516724,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2824,76,0.098744697868824,0.133712187409401,2.59496784210205,4.03099918365479,0,1,0,0,0,0,0,0,0,0,0,0.112441897392273,0.145973429083824,1.53127431869507,2.37886476516724,-0.0136971995234489,-0.0122612416744232,1.06369352340698,1.65213441848755,NA,NA,NA
"3",2824,77,0.123084999620914,0.14274936914444,2.85831570625305,4.35347509384155,0,0,1,0,0,0,0,0,0,0,0,0.098744697868824,0.133712187409401,2.59496784210205,4.03099918365479,0.0243403017520905,0.00903718173503876,0.263347864151001,0.322475910186768,-0.0136971995234489,1.06369352340698,NA
"4",2824,78,0.158949002623558,0.161398679018021,2.967848777771,4.49656915664673,0,0,0,1,0,0,0,0,0,0,0,0.123084999620914,0.14274936914444,2.85831570625305,4.35347509384155,0.0358640030026436,0.0186493098735809,0.109533071517944,0.143094062805176,0.0243403017520905,0.263347864151001,-0.0136971995234489
"5",2824,79,0.146949902176857,0.176253199577332,2.93944811820984,4.50236082077026,0,0,0,0,1,0,0,0,0,0,0,0.158949002623558,0.161398679018021,2.967848777771,4.49656915664673,-0.011999100446701,0.0148545205593109,-0.0284006595611572,0.00579166412353516,0.0358640030026436,0.109533071517944,0.0243403017520905
"6",2824,80,0.196056693792343,0.209066763520241,3.13798522949219,4.7104959487915,0,0,0,0,0,1,0,0,0,0,0,0.146949902176857,0.176253199577332,2.93944811820984,4.50236082077026,0.0491067916154861,0.0328135639429092,0.198537111282349,0.20813512802124,-0.011999100446701,-0.0284006595611572,0.0358640030026436
"7",2824,81,0.169393196702003,0.210659861564636,4.01171350479126,6.02135229110718,0,0,0,0,0,0,1,0,0,0,0,0.196056693792343,0.209066763520241,3.13798522949219,4.7104959487915,-0.0266634970903397,0.00159309804439545,0.873728275299072,1.31085634231567,0.0491067916154861,0.198537111282349,-0.011999100446701
"8",2824,82,0.159944906830788,0.207012176513672,2.94198727607727,4.16055297851562,0,0,0,0,0,0,0,1,0,0,0,0.169393196702003,0.210659861564636,4.01171350479126,6.02135229110718,-0.00944828987121582,-0.00364768505096436,-1.06972622871399,-1.86079931259155,-0.0266634970903397,0.873728275299072,0.0491067916154861
"9",2824,83,0.175326198339462,0.232451647520065,3.86597776412964,5.26736259460449,0,0,0,0,0,0,0,0,1,0,0,0.159944906830788,0.207012176513672,2.94198727607727,4.16055297851562,0.0153812915086746,0.0254394710063934,0.923990488052368,1.10680961608887,-0.00944828987121582,-1.06972622871399,-0.0266634970903397
"10",2824,84,0.172115996479988,0.220688685774803,4.00031137466431,5.2901086807251,0,0,0,0,0,0,0,0,0,1,0,0.175326198339462,0.232451647520065,3.86597776412964,5.26736259460449,-0.00321020185947418,-0.0117629617452621,0.134333610534668,0.0227460861206055,0.0153812915086746,0.923990488052368,-0.00944828987121582
"11",2824,85,0.154478996992111,0.177541300654411,2.94875836372375,3.76019811630249,0,0,0,0,0,0,0,0,0,0,1,0.172115996479988,0.220688685774803,4.00031137466431,5.2901086807251,-0.0176369994878769,-0.0431473851203918,-1.05155301094055,-1.52991056442261,-0.00321020185947418,0.134333610534668,0.0153812915086746
"12",6284,75,-0.0375437997281551,0.00775824021548033,-0.978830456733704,-1.44449687004089,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",6284,76,0.0234781000763178,0.0310890693217516,-1.16060411930084,-1.57388925552368,0,1,0,0,0,0,0,0,0,0,0,-0.0375437997281551,0.00775824021548033,-0.978830456733704,-1.44449687004089,0.0610219016671181,0.0233308300375938,-0.181773662567139,-0.129392385482788,NA,NA,NA
