"","id","numyrs","year","choice","wage","educ","expwc","expbc","expser","manuf","black","lwage","y81","y82","y83","y84","y85","y86","y87","enroll","employ","attrit","exper","expersq","status"
"1",1,9,81,2,NA,10,0,0,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,2
"2",1,9,82,2,NA,10,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,2
"3",1,9,83,2,NA,10,0,0,0,0,1,NA,0,0,1,0,0,0,0,0,0,0,0,0,2
"4",1,9,84,1,NA,10,0,0,0,0,1,NA,0,0,0,1,0,0,0,1,0,0,0,0,1
"5",1,9,85,2,NA,11,0,0,0,0,1,NA,0,0,0,0,1,0,0,0,0,0,0,0,2
"6",1,9,86,2,NA,11,0,0,0,0,1,NA,0,0,0,0,0,1,0,0,0,0,0,0,2
"7",1,9,87,2,NA,11,0,0,0,0,1,NA,0,0,0,0,0,0,1,0,0,0,0,0,2
"8",2,9,81,2,NA,12,0,0,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,2
"9",2,9,82,4,10091.740234375,12,0,0,0,0,1,9.21947288513184,0,1,0,0,0,0,0,0,1,0,0,0,3
"10",2,9,83,4,13378.3603515625,12,0,1,0,0,1,9.50139331817627,0,0,1,0,0,0,0,0,1,0,1,1,3
"11",2,9,84,5,15889.830078125,12,0,2,0,0,1,9.67343425750732,0,0,0,1,0,0,0,0,1,0,2,4,3
"12",2,9,85,5,NA,12,0,2,1,0,1,NA,0,0,0,0,1,0,0,0,1,0,3,9,3
"13",2,9,86,4,18000,12,0,2,2,0,1,9.79812717437744,0,0,0,0,0,1,0,0,1,0,4,16,3
"14",2,9,87,4,15841.41015625,12,0,3,2,0,1,9.67038249969482,0,0,0,0,0,0,1,0,1,0,5,25,3
"15",3,5,81,1,NA,12,0,0,0,0,1,NA,1,0,0,0,0,0,0,1,0,1,0,0,1
"16",4,11,81,2,NA,9,0,0,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,2
"17",4,11,82,2,NA,9,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,2
"18",4,11,83,2,NA,9,0,0,0,0,1,NA,0,0,1,0,0,0,0,0,0,0,0,0,2
"19",4,11,84,2,NA,9,0,0,0,0,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,2
"20",4,11,85,2,NA,9,0,0,0,0,1,NA,0,0,0,0,1,0,0,0,0,0,0,0,2
"21",4,11,86,2,NA,9,0,0,0,0,1,NA,0,0,0,0,0,1,0,0,0,0,0,0,2
"22",4,11,87,5,6093.60009765625,9,0,0,0,0,1,8.71499443054199,0,0,0,0,0,0,1,0,1,0,0,0,3
"23",5,9,81,3,9268.51953125,9,0,1,0,0,1,9.13437938690186,1,0,0,0,0,0,0,0,1,0,1,1,3
"24",5,9,82,5,9383.3095703125,9,1,1,0,0,1,9.14668750762939,0,1,0,0,0,0,0,0,1,0,2,4,3
"25",5,9,83,5,9580.3798828125,9,1,1,1,0,1,9.16747283935547,0,0,1,0,0,0,0,0,1,0,3,9,3
"26",5,9,84,3,NA,9,1,1,2,0,1,NA,0,0,0,1,0,0,0,0,1,0,4,16,3
"27",5,9,85,5,9682.080078125,9,2,1,2,0,1,9.17803192138672,0,0,0,0,1,0,0,0,1,0,5,25,3
"28",5,9,86,5,16061.4697265625,9,2,1,3,0,1,9.68417835235596,0,0,0,0,0,1,0,0,1,0,6,36,3
"29",5,9,87,3,11017.23046875,9,2,1,4,0,1,9.30721569061279,0,0,0,0,0,0,1,0,1,0,7,49,3
"30",6,9,81,2,NA,8,0,1,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,1,1,2
"31",6,9,82,4,10848.16015625,8,0,1,0,0,1,9.29175090789795,0,1,0,0,0,0,0,0,1,0,1,1,3
"32",6,9,83,4,16684.01953125,8,0,2,0,0,1,9.72220706939697,0,0,1,0,0,0,0,0,1,0,2,4,3
"33",6,9,84,4,18901.9296875,8,0,3,0,0,1,9.84701919555664,0,0,0,1,0,0,0,0,1,0,3,9,3
"34",6,9,85,2,NA,8,0,4,0,0,1,NA,0,0,0,0,1,0,0,0,0,0,4,16,2
"35",6,9,86,2,NA,8,0,4,0,0,1,NA,0,0,0,0,0,1,0,0,0,0,4,16,2
"36",6,9,87,2,NA,8,0,4,0,0,1,NA,0,0,0,0,0,0,1,0,0,0,4,16,2
"37",7,11,81,2,NA,10,0,1,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,1,1,2
"38",7,11,82,2,NA,10,0,1,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,1,1,2
"39",7,11,83,2,NA,10,0,1,0,0,1,NA,0,0,1,0,0,0,0,0,0,0,1,1,2
"40",7,11,84,2,NA,10,0,1,0,0,1,NA,0,0,0,1,0,0,0,0,0,0,1,1,2
"41",7,11,85,4,13190.330078125,10,0,1,0,0,1,9.48723888397217,0,0,0,0,1,0,0,0,1,0,1,1,3
"42",7,11,86,4,12844.8603515625,10,0,2,0,1,1,9.4606990814209,0,0,0,0,0,1,0,0,1,0,2,4,3
"43",7,11,87,4,16574.58984375,10,0,3,0,1,1,9.71562576293945,0,0,0,0,0,0,1,0,1,0,3,9,3
"44",8,10,81,4,15526.2099609375,12,0,0,0,1,1,9.65028476715088,1,0,0,0,0,0,0,0,1,0,0,0,3
"45",8,10,82,4,16442.4609375,12,0,1,0,1,1,9.70762252807617,0,1,0,0,0,0,0,0,1,0,1,1,3
"46",8,10,83,4,17075.990234375,12,0,2,0,1,1,9.74542903900146,0,0,1,0,0,0,0,0,1,0,2,4,3
"47",8,10,84,5,25164.25,12,0,3,0,0,1,10.1331796646118,0,0,0,1,0,0,0,0,1,0,3,9,3
"48",8,10,85,5,26341.470703125,12,0,3,1,0,1,10.1788997650146,0,0,0,0,1,0,0,0,1,0,4,16,3
"49",8,10,86,5,28164.169921875,12,0,3,2,0,1,10.2458057403564,0,0,0,0,0,1,0,0,1,0,5,25,3
"50",8,10,87,5,32800.140625,12,0,3,3,0,1,10.3981876373291,0,0,0,0,0,0,1,0,1,0,6,36,3
"51",9,9,81,1,NA,11,0,0,0,0,1,NA,1,0,0,0,0,0,0,1,0,0,0,0,1
"52",9,9,82,2,NA,12,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,2
"53",9,9,83,4,1230.77001953125,12,0,0,0,0,1,7.11539506912231,0,0,1,0,0,0,0,0,1,0,0,0,3
"54",9,9,84,4,1160.68994140625,12,0,1,0,0,1,7.05676984786987,0,0,0,1,0,0,0,0,1,0,1,1,3
"55",9,9,85,5,8277.8603515625,12,0,2,0,0,1,9.02133941650391,0,0,0,0,1,0,0,0,1,0,2,4,3
"56",9,9,86,5,7590.2001953125,12,0,2,1,0,1,8.93461322784424,0,0,0,0,0,1,0,0,1,0,3,9,3
"57",9,9,87,2,NA,12,0,2,2,0,1,NA,0,0,0,0,0,0,1,0,0,0,4,16,2
"58",10,11,81,2,NA,11,0,1,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,1,1,2
"59",10,11,82,2,NA,11,0,1,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,1,1,2
"60",10,11,83,2,NA,11,0,1,0,0,1,NA,0,0,1,0,0,0,0,0,0,0,1,1,2
"61",10,11,84,5,18139.1796875,11,0,1,0,1,1,9.80582904815674,0,0,0,1,0,0,0,0,1,0,1,1,3
"62",10,11,85,5,12025.0498046875,11,0,1,1,1,1,9.39474678039551,0,0,0,0,1,0,0,0,1,0,2,4,3
"63",10,11,86,2,NA,11,0,1,2,0,1,NA,0,0,0,0,0,1,0,0,0,0,3,9,2
"64",10,11,87,2,NA,11,0,1,2,0,1,NA,0,0,0,0,0,0,1,0,0,0,3,9,2
"65",11,9,81,2,NA,11,0,0,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,2
"66",11,9,82,2,NA,11,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,2
"67",11,9,83,5,10336.849609375,11,0,0,0,0,1,9.24347019195557,0,0,1,0,0,0,0,0,1,0,0,0,3
"68",11,9,84,5,13301.599609375,11,0,0,1,0,1,9.49563980102539,0,0,0,1,0,0,0,0,1,0,1,1,3
"69",11,9,85,5,16648.189453125,11,0,0,2,0,1,9.72005653381348,0,0,0,0,1,0,0,0,1,0,2,4,3
"70",11,9,86,5,11744.41015625,11,0,0,3,0,1,9.37113285064697,0,0,0,0,0,1,0,0,1,0,3,9,3
"71",11,9,87,5,8287.2900390625,11,0,0,4,0,1,9.0224781036377,0,0,0,0,0,0,1,0,1,0,4,16,3
"72",12,11,81,2,NA,14,0,0,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,2
"73",12,11,82,2,NA,14,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,2
"74",12,11,83,4,14159.669921875,14,0,0,0,1,1,9.55815315246582,0,0,1,0,0,0,0,0,1,0,0,0,3
"75",12,11,84,4,16828,14,0,1,0,1,1,9.73079967498779,0,0,0,1,0,0,0,0,1,0,1,1,3
"76",12,11,85,4,17749.3203125,14,0,2,0,1,1,9.78410243988037,0,0,0,0,1,0,0,0,1,0,2,4,3
"77",12,11,86,4,13961.259765625,14,0,3,0,0,1,9.54404163360596,0,0,0,0,0,1,0,0,1,0,3,9,3
"78",12,11,87,4,37673.0703125,14,0,4,0,1,1,10.5367012023926,0,0,0,0,0,0,1,0,1,0,4,16,3
"79",13,11,81,2,NA,11,0,0,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,2
"80",13,11,82,2,NA,11,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,2
"81",13,11,83,2,NA,11,0,0,0,0,1,NA,0,0,1,0,0,0,0,0,0,0,0,0,2
"82",13,11,84,2,NA,11,0,0,0,0,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,2
"83",13,11,85,2,NA,11,0,0,0,0,1,NA,0,0,0,0,1,0,0,0,0,0,0,0,2
"84",13,11,86,5,NA,11,0,0,0,0,1,NA,0,0,0,0,0,1,0,0,1,0,0,0,3
"85",13,11,87,NA,NA,11,0,0,1,NA,1,NA,0,0,0,0,0,0,1,0,0,0,1,1,NA
"86",14,10,81,2,NA,11,0,0,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,2
"87",14,10,82,2,NA,11,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,2
"88",14,10,83,2,NA,11,0,0,0,0,1,NA,0,0,1,0,0,0,0,0,0,0,0,0,2
"89",14,10,84,5,6127.02978515625,11,0,0,0,0,1,8.72046566009521,0,0,0,1,0,0,0,0,1,0,0,0,3
"90",14,10,85,2,NA,11,0,0,1,0,1,NA,0,0,0,0,1,0,0,0,0,0,1,1,2
"91",14,10,86,2,NA,11,0,0,1,0,1,NA,0,0,0,0,0,1,0,0,0,0,1,1,2
"92",14,10,87,5,8445.73046875,11,0,0,1,0,1,9.04141616821289,0,0,0,0,0,0,1,0,1,0,1,1,3
"93",15,9,81,2,NA,11,0,0,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,2
"94",15,9,82,2,NA,11,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,2
"95",15,9,83,2,NA,11,0,0,0,0,1,NA,0,0,1,0,0,0,0,0,0,0,0,0,2
